#Vj [V]	VdwJ [m/s]	err_VdwJ [m/s]	VdwH [m/s]	err_VdwH [m/s]
2	0.059460393079	0.0592994039619	0.712020740741	0.0197235874928
3	0.0555109430161	0.0423291612054	0.76559047619	0.020342694219
4	0.0542914667451	0.0673596776965	0.810185984848	0.0453732107101
5	0.119100373986	0.0417590961151	0.757207692308	0.0329646412407
6	0.132745088593	0.0390351318095	0.771405555556	0.0346380143057
7	0.190080804363	0.0350469674047	0.790137037037	0.0306498499009
8	0.21242948317	0.0420607453993	0.765356296296	0.0398622965809
9	0.262095079658	0.0390052899736	1.00965606061	0.0379355396021
10	0.201918977121	0.0352218959536	0.775591666667	0.0346481188448
11	0.183844458759	0.0221962512432	0.72387125	0.0218608704202
12	0.159731535413	0.0549630358815	0.840664230769	0.0546162356195
14	0.252500745298	0.035780895935	0.760473333333	0.035311488488
16	0.255053206325	0.0294463826322	0.790761111111	0.0284503239002
18	0.264438981452	0.0334465293635	0.794006734007	0.0331106150183
20	0.290059175833	0.0317218247979	0.770703571429	0.0313962461981
23	0.340170927054	0.0200384191896	0.730338720539	0.0198422356631
26	0.412509502778	0.039525205541	0.850600568182	0.039398470418
30	0.38337037037	0.0234637119198	0.803014814815	0.0234637119198
35	0.401998015873	0.0418729624552	0.839208394383	0.0615580819094
40	0.33551467803	0.0684937578757	0.808748446345	0.112785276648
45	0.436649470899	0.0809732252189	0.867981618844	0.125264743991
50	0.393247863248	0.0579712086224	1.03589909951	0.102262727395
55	0.383191919192	0.218434301705	1.25301479631	0.33654501843
60	0.432066666667	0.11205996937	0.862962271062	0.230170686095
70	0.569623015873	0.112768852212	1.13852814408	0.230879568938
80	0.8400625	0.0969000375573	1.27049143773	0.215010754283
90	1.15356547619	0.170924228657	1.84391108059	0.289034945383
99	1.65961538462	0.173382802769	1.77871098901	0.291493519494
