#Vj [V]	VdwL [m/s]	err_VdwL [m/s]	VdwR [m/s]	err_VdwR [m/s]	VdwJ [m/s]	err_VdwJ [m/s]
8	1.25108148148e-06	2.22829240816e-07	1.12266666667e-06	2.16904496251e-07	1.18687407407e-06	2.19866868533e-07
9	2.82659259259e-06	3.0086110071e-07	1.92175163399e-06	2.34147837286e-07	2.37417211329e-06	2.67504468998e-07
10	4.40050505051e-06	6.5204777164e-07	3.45272727273e-06	4.96655148875e-07	3.92661616162e-06	5.74351460258e-07
11	8.0052345679e-06	7.95444444923e-07	6.38970899471e-06	8.85662437422e-07	7.19747178131e-06	8.40553441173e-07
12	1.16004444444e-05	2.250992886e-06	8.94461904762e-06	1.23443688379e-06	1.0272531746e-05	1.7427148849e-06
14	3.77961038961e-05	3.00332645033e-06	2.67860204082e-05	1.71433633383e-06	3.22910621521e-05	2.35883139208e-06
16	8.14523076923e-05	1.66744156907e-05	6.708e-05	3.44798293569e-06	7.42661538462e-05	1.00611993132e-05
18	0.000154385333333	2.38733186943e-05	0.000129301538462	1.14860860572e-05	0.000141843435897	1.76797023758e-05
20	0.000429521428571	4.04762449229e-05	0.000287751666667	3.18745550514e-05	0.000358636547619	3.61753999871e-05
23	0.00083268	7.18258388202e-05	0.00055595	5.8963178835e-05	0.000694315	6.53945088276e-05
26	0.00151356363636	0.000155535760521	0.000941294444444	9.79344853369e-05	0.0012274290404	0.000126735122929
30	0.00356398611111	0.000295401951636	0.00242036904762	0.000181451478545	0.00299217757937	0.00023842671509
35	0.0101000833333	0.000708651770334	0.00584860714286	0.000395830954388	0.0079743452381	0.000552241362361
40	0.02085125	0.00114518141985	0.0128128461538	0.000672535382145	0.0168320480769	0.000908858400999
45	0.0369477380952	0.00186095748437	0.0214038541667	0.00105060914534	0.029175796131	0.00145578331486
50	0.0697214583333	0.00196532529236	0.03942975	0.000765462574608	0.0545756041667	0.00136539393348
55	0.1242068	0.00114531848846	0.0705236	0.00231362027135	0.0973652	0.0017294693799
60	0.168486363636	0.00297886122985	0.103111428571	0.00204244513827	0.135798896104	0.00251065318406
70	0.403961666667	0.0062892589764	0.239786111111	0.00465302051606	0.321873888889	0.00547113974623
80	0.750122222222	0.00890443432326	0.465433333333	0.0137149021749	0.607777777778	0.0113096682491
90	1.21170909091	0.0187679847631	0.73347	0.0186123453654	0.972589545455	0.0186901650642
99	1.73294444444	0.0321957985527	1.23060185185	0.0232127902976	1.48177314815	0.0277042944252
