#Vj_tjmax [V]	VdwJ_tjmax_th [m/s]	VdwJ_tjmax_h0 [m/s]	VdwJ_tjmax [m/s]	VdwH_tjmax [m/s]
2	0.0594607407407	3.47661782346e-07	0.059460393079	0.712020740741
3	0.0555238095238	1.28665076604e-05	0.0555109430161	0.76559047619
4	0.0544890151515	0.00019754840637	0.0542914667451	0.810185984848
5	0.119676923077	0.000576549090995	0.119100373986	0.757207692308
6	0.134094444444	0.00134935585104	0.132745088593	0.771405555556
7	0.194796296296	0.00471549193314	0.190080804363	0.790137037037
8	0.224297037037	0.0118675538667	0.21242948317	0.765356296296
9	0.271589393939	0.00949431428105	0.262095079658	1.00965606061
10	0.205841666667	0.00392268954545	0.201918977121	0.775591666667
11	0.18671625	0.00287179124074	0.183844458759	0.72387125
12	0.161775769231	0.00204423381746	0.159731535413	0.840664230769
14	0.258926666667	0.00642592136827	0.252500745298	0.760473333333
16	0.262405555556	0.00735234923077	0.255053206325	0.790761111111
18	0.267134006734	0.00269502528205	0.264438981452	0.794006734007
20	0.293286904762	0.00322772892857	0.290059175833	0.770703571429
23	0.342253872054	0.002082945	0.340170927054	0.730338720539
26	0.413736931818	0.0012274290404	0.412509502778	0.850600568182
