#Vj_tjmin [V]	VdwJ_tjmin [m/s]	VdwH_tjmin_tj [m/s]	VdwH_tjmin_j0 [m/s]	VdwH_tjmin [m/s]
35	0.401998015873	1.34119246032	0.501984065934	0.839208394383
40	0.33551467803	1.9382125947	1.12946414835	0.808748446345
45	0.436649470899	1.9974457672	1.12946414835	0.867981618844
50	0.393247863248	2.16536324786	1.12946414835	1.03589909951
55	0.383191919192	4.26491919192	3.0119043956	1.25301479631
60	0.432066666667	3.87486666667	3.0119043956	0.862962271062
70	0.569623015873	4.15043253968	3.0119043956	1.13852814408
80	0.8400625	4.28239583333	3.0119043956	1.27049143773
90	1.15356547619	4.85581547619	3.0119043956	1.84391108059
99	1.65961538462	4.79061538462	3.0119043956	1.77871098901
